AARON;m
ADMINISTRATOR;m
ADONIS;m
AJUR;f
ALEXANA;f
ALEXANDER;m
ALIEN;m
ALKAR;m
ALLENBY;f
AMANDA;f
AMARIE;f
ANNA;f
ANNE;f
ANTHWARA;m
ANTICAN;m
ANYA;f
APGAR;m
AQUIEL;f
ARDRA;f
ARD'RIAN;f
ARMUS;n
ARRIDOR;m
BA'EL;f
BARAN;m
BARCLAY;m
BARNABY;m
BARRON;m
BASHIR;m
BATAI;m
BEATA;f
BELL;m
BELLBOY;m
BEN;m
BENSEN;m
BENZAN;m
BEREL;m
BERIK;m
B'ETOR;f
BHAVANI;f
BOCHRA;m
BOK;m
BOOTHBY;m
BORG;m
BRAND;f
BRENNA;f
BRIAM;m
BROOKS;f
BROSSMER;f
BRULL;m
BURKE;m
BYLETH;m
CALLOWAY;f
CAMPIO;m
CARMEN;f
CARMICHAEL;f
CASTILLO;m
CHANG;m
CHIEF;m
CHILTON;f
CHORGAN;m
CLANCEY;f
CLARA;f
CLARE;f
CLARK;m
CLEMENS;m
CLERK;m
COMIC;m
COMPUTER;n
CONDUCTOR;m
CONOR;m
COREY;m
COUNTESS;f
CROSIS;m
CRUSHER;f
DANILO;m
DATA;m
DATHON;m
DAVIES;m
DEALT;m
DEBIN;m
DESEVE;m
DIRGO;m
DOBARA;f
DOKACHIN;m
DOLAK;m
D'TAN;m
DUANA;f
DUFFY;m
DURAS;m
DURKEN;m
ELI;m
ELINE;f
ENDAR;m
ESOQQ;m
ETANA;f
ETHAN;m
FAJO;m
FARALLON;f
FAREK;m
FELTON;f
FENTO;m
FINN;m
FREUD;m
GALEN;m
GANGSTER;m
GARRETT;f
GARVIN;m
GIA;f
GILLESPIE;m
GI'RAL;f
GIUSTI;f
GORTA;m
GOSHEVEN;m
GOSS;m
GOWRON;m
GRANGER;m
GRAVES;m
GREBNEDLOG;m
GUINAN;f
GUL EVEK;m
HAFTEL;m
HAGON;m
HANNAH;f
HANSON;m
HARITATH;m
HARO;f
HARRY;m
HASKELL;m
HAYNE;m
HEDRIL;f
HELENA;f
HOBSON;m
HUGH;m
HUTCH;m
IAN;m
IHAT;m
ISABELLA;f
ISHARA;f
JA'DAR;m
JAKE;m
JAMESON;m
JARED;m
JAROK;m
JASON;m
JAY GORDON;m
J'DAN;m
JEAN-LUC;m
JELLICO;m
JENICE;f
JENNA;f
JEREMY;m
JEV;m
JO'BRIL;m
JOHN;m
JONO;m
JOVAL;f
JULIANA;f
KAHLESS;m
KAHLEST;f
KALITA;f
KAMALA;f
KAREEN;f
KARGAN;m
KARNAS;m
KAZAGO;m
KEEL;m
KEEVE;m
K'EHLEYR;f
KEIKO;f
KELL;m
KELSEY;f
KENNELLY;m
KENTOR;m
KEVIN;m
KINGSLEY;f
KIROS;f
KLAG;m
K'MPEC;m
K'MTAR;m
K'NERA;m
KOLRAMI;m
KONMEL;m
KOROTH;m
KORRIS;m
KOSINSKI;m
KRAG;m
KRITE;f
KROLA;m
KURAK;f
KURN;m
KUSHELL;m
K'VADA;m
KYLE RIKER;m
LAFORGE;m
LAKANTA;m
LAL;f
LANEL;f
LANGOR;f
LAVELLE;m
LEAH;f
LEECH;m
LEKA;f
LEMEC;m
LENOR;m
LESTRADE;m
LETEK;m
LIATOR;m
LIKO;m
LIVA;f
L'KOR;m
LOCARNO;m
LOGAN;m
LOQUEL;m
LORE;m
LORIN;f
LOUIS;m
LUISA;f
LURIN;m
LURSA;f
LUTAN;m
LWAXANA;f
LYNCH;m
MACDOUGAL;f
MACDUFF;m
MACET;m
MACIAS;m
MADDOX;m
MADELINE;f
MADRED;m
MAN;m
MANDL;m
MANHEIM;m
MANUA;f
MAQUES;m
MARIE;f
MARISSA;f
MARLA;f
MAROUK;f
MARR;f
MARTA;f
MARTIN;m
MATURIN;m
MAURIC;m
MAVEK;m
MAXWELL;m
MCCOY;m
MCKNIGHT;f
MCNARY;m
MEDIATOR;m
MENDAK;m
MENDON;m
MENDOZA;m
MENDROSSEN;m
MERIBOR;f
MINER;m
MINUET;f
MIRASTA;f
MIROK;m
MISS KYLE;f
MORDOCK;m
MORIARTY;m
MOSELEY;m
MOVAR;m
NAGILUM;n
NARA;f
NARIK;m
NAYROK;m
NECHAYEV;f
NEIL;m
NELLA;f
NERAL;m
NIBOR;m
NIKOLAI;m
NILREM;m
NOOR;n
NU'DAQ;m
NURIA;f
N'VEK;m
O'BRIEN;m
OCETT;f
ODAN;n
OGAWA;f
OJI;f
OKONA;m
OMAG;m
ONE ZERO;n
ORTON;m
P2;m
PARDEK;m
PATTERSON;m
PERRIN;f
PHILLIPA;f
PICARD;m
PICARD 2;m
PIERCE;m
PILOT;m
PORTAL;m
PRAN;m
PRESSMAN;m
PULASKI;f
Q;m
Q2;m
QOL;m
QUARK;m
QUINN;m
QUINT;m
QUINTEROS;m
RABAL;m
RADUE;m
RAL;m
RALPH;m
RAMSEY;m
RASHELLA;f
RASMUSSEN;m
REDBLOCK;m
REGINOD;m
REMMICK;m
RENE;m
REPORTER;m
REX;m
REYGA;m
RICE;m
RIKER;m
RISHON;f
RIVAN;f
RO;f
ROBERT;m
ROBIN;f
ROGA;m
ROMAS;m
ROMULAN;m
RONIN;m
RUSSELL;f
RUSTIC;m
SABIN;m
SAKKATH;m
SALESMAN;m
SALIA;f
SANTOS;m
SAREK;m
SARJENKA;f
SATIE;f
SAVAR;m
SCHOLAR;m
SCOTT;m
SELA;f
SERGEY;m
SEROVA;f
SETAL;m
SHELBY;f
SHELIAK;n
SHREK;m
SILVA;f
SINGH;m
SIR GUY;m
SIROL;m
SITO;f
SKORAN;m
SOBI;m
SOLIS;m
SOLOK;m
SONNY;m
SONYA;f
SOONG;m
SOREN;n
SOVAK;m
SPOCK;m
STUBBS;m
SUNAD;m
SUSANNA;m
SUTTER;m
SYRUS;m
TACTICS;m
TAIBAK;m
TAITT;f
TALLERA;f
TALUR;f
TAM;m
TAMARIAN;m
TARIS;f
TARMIN;m
TARR;m
TARSES;m
TASHA;f
TAURIK;m
TAVA;f
TAYNA;f
TEXAS;m
THOLL;m
TIMICIN;m
TIMOTHY;m
T'JON;m
TOG;m
TOKATH;m
TOMALAK;m
TOQ;m
TORAK;m
TORETH;f
T'PEL;f
TRAVELLER;m
TROI;f
T'SU;f
VAGH;m
VANESSA;f
VARRIA;f
VASH;f
VICTORIA;f
VOICE;n
VORIN;m
VOVAL;m
WESLEY;m
WHALEN;m
WOMAN;f
WORF;m
WRENN;m
WYATT;m
YAREENA;f
YRANAC;m
YUTA;f
ZERO ONE;n
ZORN;m
